page,num,type,width_px,height_px,color,components,bpc,encoding,interpolate,object_id,generation,x_ppi,y_ppi,file,bytes,sha256
14,16,image,378,265,rgb,3,8,jpeg,no,735,0,133,133,p014_n016_image_obj735.jpg,18113,c2cf30426d38b65074d5e630f9f5411075dec3361d0a408c9f596dc1815c5ba6
14,17,mask,378,265,-,1,1,image,no,735,0,133,133,p014_n017_mask_obj735.png,2218,8beaa5dc995c7d154960be9a90bc6bece12070eaaec8b968f22ca8dccba1dc21
14,18,image,378,265,rgb,3,8,jpeg,no,737,0,133,133,p014_n018_image_obj737.jpg,15415,88977b4b4a5c21ad95659d50d89c826e36c5760c513a10c3105739cbf6f6bd02
14,19,mask,378,265,-,1,1,image,no,737,0,133,133,p014_n019_mask_obj737.png,1938,b6f2a5d46e8b07e802aa4e1636e80971644fe03888bf08e82526ff507fa7bc9a
14,20,image,378,265,rgb,3,8,jpeg,no,740,0,133,133,p014_n020_image_obj740.jpg,14558,373a1798646cd79cb54f5cdd0f2eff6b4ea04d9797f6dae7d9eae8fa2531e50c
14,21,mask,378,265,-,1,1,image,no,740,0,133,133,p014_n021_mask_obj740.png,1962,812f5c6a374df1b13514965535a0c7e79171cd05e39c0af4a9fbd5414daa0b29
14,22,image,378,265,rgb,3,8,jpeg,no,742,0,133,133,p014_n022_image_obj742.jpg,14594,b59f4bacf1be41b6b6ff65c21b4ca9ef2d40e00827d5076588f99a695375a8e6
14,23,mask,378,265,-,1,1,image,no,742,0,133,133,p014_n023_mask_obj742.png,1933,df47363ddc42db3543ab76fb3b32cc0e74adf966e7d8a7349fe0c87a56964528
15,24,image,268,221,rgb,3,8,jpeg,no,763,0,96,103,p015_n024_image_obj763.jpg,10562,daeb481b3db0bae025d0b1c8700709e02015fa18fb7c6f6cd569b5cfb5d197ea
15,25,image,268,221,rgb,3,8,jpeg,no,764,0,96,103,p015_n025_image_obj764.jpg,11426,1aa57b39c8aea52e31ec2abd1ad65a1b24cbadcc0bc2d63b8358a8e8cab76f9e
15,26,image,378,265,rgb,3,8,jpeg,no,766,0,133,133,p015_n026_image_obj766.jpg,15652,646fa83ad2bf643f7a7e0f56dd0ec5daeb0a22a103adba26c7f0ed575aded313
